fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc
1,0.8,0.8,0.8,0.8,0.2,0.2,0.84
2,0.9,1.0,0.8,0.8888888888888888,0.0,0.2,0.9200000000000002
3,0.9,1.0,0.8,0.8888888888888888,0.0,0.2,0.89
4,0.95,0.9090909090909091,1.0,0.9523809523809523,0.1,0.0,0.96
5,0.8,0.7142857142857143,1.0,0.8333333333333334,0.4,0.0,0.87
6,0.9,1.0,0.8,0.8888888888888888,0.0,0.2,0.88
7,0.95,0.9090909090909091,1.0,0.9523809523809523,0.1,0.0,0.96
8,0.7727272727272727,0.8,0.7272727272727273,0.7619047619047619,0.18181818181818182,0.2727272727272727,0.8099173553719009
9,0.7272727272727273,0.7777777777777778,0.6363636363636364,0.7,0.18181818181818182,0.36363636363636365,0.7933884297520661
10,0.8181818181818182,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.2727272727272727,0.09090909090909091,0.8264462809917356
