fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc
1,0.5793963254593176,0.25,0.34120734908136485,0.2885682574916759,0.34120734908136485,0.6587926509186351,0.5134712491647205
2,0.6161417322834646,0.2713004484304933,0.31758530183727035,0.2926239419588875,0.28433945756780404,0.6824146981627297,0.5038796003517932
3,0.4849081364829396,0.2709750566893424,0.6272965879265092,0.3784639746634996,0.5625546806649169,0.37270341207349084,0.5314719518327926
4,0.64501312335958,0.3360655737704918,0.4304461942257218,0.37744533947065595,0.28346456692913385,0.5695538057742782,0.6335367855920898
5,0.6283650689428759,0.31160896130346233,0.4015748031496063,0.35091743119266056,0.29597197898423816,0.5984251968503937,0.5422234326663633
6,0.6776099803020355,0.34972677595628415,0.3359580052493438,0.3427041499330656,0.2084063047285464,0.6640419947506562,0.6139594853620531
7,0.6093237032173342,0.313588850174216,0.47244094488188976,0.3769633507853403,0.3450087565674256,0.5275590551181102,0.5924840612086361
8,0.6204858831254104,0.29774127310061604,0.3805774278215223,0.33410138248847926,0.29947460595446584,0.6194225721784777,0.5660098091941659
9,0.6458607095926413,0.3027295285359802,0.32105263157894737,0.3116219667943806,0.24605954465849386,0.6789473684210526,0.5540625864134944
10,0.7490144546649146,0.4956896551724138,0.3026315789473684,0.3758169934640523,0.10245183887915937,0.6973684210526315,0.6801041570651672
