fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.8181818181818182,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.2727272727272727,0.09090909090909091,0.8264462809917356,0.7968715627806537,0.5,1.5937431255613075,0.8181818181818182,0.8181818181818182
2,0.7272727272727273,0.7777777777777778,0.6363636363636364,0.7,0.18181818181818182,0.36363636363636365,0.7933884297520661,0.7754329004329005,0.5,1.550865800865801,0.7272727272727273,0.7272727272727273
3,0.7727272727272727,0.8,0.7272727272727273,0.7619047619047619,0.18181818181818182,0.2727272727272727,0.8099173553719009,0.7859963269054179,0.5,1.5719926538108357,0.8181818181818182,0.8181818181818182
4,0.95,0.9090909090909091,1.0,0.9523809523809523,0.1,0.0,0.96,0.9572979797979798,0.5,1.9145959595959596,0.9,0.9
5,0.9,1.0,0.8,0.8888888888888888,0.0,0.2,0.88,0.9225000000000001,0.5,1.8450000000000002,0.8,0.8
6,0.8,0.7142857142857143,1.0,0.8333333333333334,0.4,0.0,0.87,0.8891558441558441,0.5,1.7783116883116883,0.7,0.7
7,0.95,0.9090909090909091,1.0,0.9523809523809523,0.1,0.0,0.96,0.9572979797979798,0.5,1.9145959595959596,0.9,0.9
8,0.9,1.0,0.8,0.8888888888888888,0.0,0.2,0.89,0.9344497607655502,0.5,1.8688995215311004,0.8,0.8
9,0.9,1.0,0.8,0.8888888888888888,0.0,0.2,0.9200000000000002,0.9488235294117648,0.5,1.8976470588235297,0.9,0.9
10,0.8,0.8,0.8,0.8,0.2,0.2,0.84,0.8234920634920634,0.5,1.6469841269841268,0.8,0.8
