fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.8301886792452831,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.11904761904761904,0.36363636363636365,0.7705627705627706,0.5806747124928944,0.20754716981132076,2.7977963420112184,0.5454545454545454,0.5454545454545454
2,0.9056603773584906,1.0,0.5454545454545454,0.7058823529411765,0.0,0.45454545454545453,0.787878787878788,0.7025149453720883,0.20754716981132076,3.3848447367927887,0.5454545454545454,0.5454545454545454
3,0.7884615384615384,0.5,0.2727272727272727,0.35294117647058826,0.07317073170731707,0.7272727272727273,0.6186252771618626,0.35613586619778576,0.21153846153846154,1.6835513674804419,0.36363636363636365,0.36363636363636365
4,0.9411764705882353,0.8888888888888888,0.8,0.8421052631578947,0.024390243902439025,0.2,0.9512195121951219,0.8155100373482727,0.19607843137254902,4.159101190476191,0.8,0.8
5,0.9215686274509803,1.0,0.6,0.75,0.0,0.4,0.8512195121951219,0.7508333333333332,0.19607843137254902,3.8292499999999996,0.6,0.6
6,0.8627450980392157,0.7142857142857143,0.5,0.5882352941176471,0.04878048780487805,0.5,0.7975609756097561,0.5840236928104575,0.19607843137254902,2.9785208333333335,0.5,0.5
7,0.9019607843137255,0.8571428571428571,0.6,0.7058823529411765,0.024390243902439025,0.4,0.9292682926829268,0.736280525030525,0.19607843137254902,3.7550306776556774,0.7,0.7
8,0.9215686274509803,0.8,0.8,0.8,0.04878048780487805,0.2,0.8926829268292684,0.7545360195360196,0.19607843137254902,3.8481336996336997,0.8,0.8
9,0.8235294117647058,0.6666666666666666,0.2,0.3076923076923077,0.024390243902439025,0.8,0.5463414634146342,0.42674997110385093,0.19607843137254902,2.1764248526296397,0.4,0.4
10,0.8235294117647058,0.5555555555555556,0.5,0.5263157894736842,0.0975609756097561,0.5,0.8219512195121952,0.5551241886768202,0.19607843137254902,2.831133362251783,0.5,0.5
