fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.9494584837545126,0.9748953974895398,0.6115485564304461,0.7516129032258064,0.002250562640660165,0.3884514435695538,0.9296088785976021,0.8484629575425563,0.12504102395799147,6.785476723444013,0.7874015748031497,0.7874015748031497
2,0.9570068920249426,0.9664179104477612,0.6797900262467191,0.7981510015408321,0.0033758439609902473,0.32020997375328086,0.9665516772894012,0.8899868062500436,0.12504102395799147,7.117558526624364,0.821522309711286,0.821522309711286
3,0.9484739087627174,0.9705882352941176,0.6062992125984252,0.7463651050080775,0.002625656414103526,0.3937007874015748,0.9436808020902864,0.8608652130244475,0.12504102395799147,6.884662215447484,0.7874015748031497,0.7874015748031497
4,0.9550377420413522,0.9728682170542635,0.6587926509186351,0.7856025039123631,0.002625656414103526,0.34120734908136485,0.9521071212685062,0.8827190761357251,0.12504102395799147,7.059435761116941,0.8031496062992126,0.8031496062992126
5,0.9560223170331473,0.980544747081712,0.6614173228346457,0.7899686520376176,0.0018754688672168042,0.33858267716535434,0.9531457667566497,0.8861083207107422,0.12504102395799147,7.086540822062025,0.8031496062992126,0.8031496062992126
6,0.9510994420741713,0.9793388429752066,0.6220472440944882,0.7608346709470305,0.0018754688672168042,0.3779527559055118,0.9518319540515049,0.8590665978038554,0.12504102395799147,6.870278014457605,0.7900262467191601,0.7900262467191601
7,0.9592908732764281,0.9706959706959707,0.6955380577427821,0.8103975535168195,0.00300187617260788,0.30446194225721784,0.9622288536634609,0.8854223690932376,0.12508207485226527,7.078731066293967,0.8241469816272966,0.8241469816272966
8,0.9527248850952068,0.9683794466403162,0.6430446194225722,0.7728706624605678,0.00300187617260788,0.3569553805774278,0.9621052527908682,0.8912675252020116,0.12508207485226527,7.125461631929992,0.821522309711286,0.821522309711286
9,0.9540229885057471,0.9918032786885246,0.6368421052631579,0.7756410256410257,0.00075046904315197,0.3631578947368421,0.9532368914782267,0.8826774179635912,0.12479474548440066,7.073033520260882,0.8,0.8
10,0.9507389162561576,0.96,0.631578947368421,0.7619047619047619,0.00375234521575985,0.3684210526315789,0.9319393700009875,0.8436892324891628,0.12479474548440066,6.760615034025002,0.7657894736842106,0.7657894736842106
