fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.5282436010591351,0.11356862083323123,0.05069124423963134,0.18181818181818182,0.0,0.0,0.0,0.2857142857142857,0.18181818181818182,0.2222222222222222,0.43000000000000005
2,0.659973521624007,0.15000851477723753,0.05069124423963134,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.38000000000000006
3,0.6218005295675199,0.1558047473458004,0.05069124423963134,0.2727272727272727,0.0,0.0,0.0,0.2,0.09090909090909091,0.125,0.31000000000000005
4,0.703883495145631,0.18169304361753313,0.046296296296296294,0.3,0.0,0.0,0.0,0.375,0.3,0.3333333333333333,0.37000000000000005
5,0.6611650485436893,0.3815725705784092,0.046296296296296294,0.3,1.0,0.3,0.46153846153846156,0.375,0.3,0.3333333333333333,0.35000000000000003
6,0.6810679611650485,0.21925488673050178,0.046296296296296294,0.2,0.0,0.0,0.0,0.3333333333333333,0.1,0.15384615384615385,0.4100000000000001
7,0.6237864077669903,0.15096783227859495,0.046296296296296294,0.2,0.0,0.0,0.0,0.2857142857142857,0.2,0.23529411764705882,0.4700000000000001
8,0.7283980582524272,0.3095095914473082,0.046296296296296294,0.4,0.5,0.2,0.2857142857142857,0.4,0.4,0.4,0.4000000000000001
9,0.6150485436893204,0.1702302289321444,0.046296296296296294,0.1,0.3333333333333333,0.1,0.15384615384615385,0.16666666666666666,0.1,0.125,0.5000000000000001
10,0.8708737864077669,0.25786675824175825,0.046296296296296294,0.3,0.25,0.1,0.14285714285714285,0.375,0.3,0.3333333333333333,0.42000000000000004
