fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.639982347749338,0.032667147644900876,0.010566762728146013,0.0,0.030303030303030304,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.9000000000000002
2,0.6862312444836717,0.03262692395694665,0.010566762728146013,0.09090909090909091,0.1,0.09090909090909091,0.09523809523809523,0.0,0.0,0.0,0.7700000000000002
3,0.8045013239187997,0.2435124925283844,0.010566762728146013,0.2727272727272727,0.0967741935483871,0.2727272727272727,0.14285714285714285,0.10344827586206896,0.2727272727272727,0.15,0.7800000000000001
4,0.5866019417475729,0.03350194538915797,0.009615384615384616,0.0,0.07142857142857142,0.1,0.08333333333333333,0.06451612903225806,0.2,0.0975609756097561,0.6600000000000001
5,0.7787378640776699,0.1002546514089571,0.009615384615384616,0.1,0.12,0.3,0.17142857142857143,0.03488372093023256,0.3,0.0625,0.31000000000000005
6,0.800873786407767,0.08211876572038083,0.009615384615384616,0.2,0.12,0.3,0.17142857142857143,0.07692307692307693,0.3,0.12244897959183673,0.7100000000000002
7,0.6325242718446602,0.03586221909558284,0.009615384615384616,0.0,0.07407407407407407,0.2,0.10810810810810811,0.06382978723404255,0.3,0.10526315789473684,0.6800000000000002
8,0.6953398058252427,0.16332845248593653,0.009615384615384616,0.2,1.0,0.1,0.18181818181818182,0.06976744186046512,0.3,0.11320754716981132,0.5300000000000001
9,0.6508737864077669,0.037430062714423715,0.009615384615384616,0.1,0.07692307692307693,0.1,0.08695652173913043,0.02702702702702703,0.1,0.0425531914893617,0.6000000000000002
10,0.7785436893203883,0.043511534627662087,0.009615384615384616,0.0,0.043478260869565216,0.1,0.06060606060606061,0.0,0.0,0.0,0.9200000000000003
