,nodeid1,nodeid2,label
0,34069,12082,0
1,23718,56079,0
2,45494,59317,0
3,30232,12843,0
4,20815,65417,0
5,31538,61141,0
6,55089,61642,0
7,54645,46522,0
8,19938,16713,0
9,42456,42220,0
10,5566,49869,0
11,56456,24906,0
12,2348,23988,0
13,63803,10851,0
14,2116,6669,0
15,53601,10857,0
16,59499,29346,0
17,34674,68414,0
18,277,11356,0
19,25109,56388,0
20,39001,31475,0
21,54642,12376,0
22,12616,14340,0
23,3291,1024,0
24,53059,9646,0
25,55075,67369,0
26,46185,50378,0
27,49158,5188,0
28,4025,14343,0
29,4608,50592,0
30,12234,28127,0
31,3420,59457,0
32,64972,63566,0
33,19225,17570,0
34,42644,42187,0
35,31718,21220,0
36,46497,19685,0
37,2169,30607,0
38,61865,21068,0
39,21046,22440,0
40,38597,10476,0
41,37338,2462,0
42,52982,17643,0
43,48077,61060,0
44,32368,61025,0
45,21243,7701,0
46,23716,21486,0
47,57183,52334,0
48,65435,2135,0
49,29498,51637,0
50,16009,24639,0
51,35667,24710,0
52,4016,58723,0
53,31338,3328,0
54,5011,59672,0
55,65423,31579,0
56,32200,56849,0
57,26325,3594,0
58,3445,7328,0
59,53152,22443,0
60,66321,64859,0
61,45728,31011,0
62,3730,26452,0
63,18786,3513,0
64,892,62397,0
65,54649,37596,0
66,5149,27403,0
67,49689,62140,0
68,21047,21946,0
69,1968,11326,0
70,18375,13918,0
71,45249,31847,0
72,22773,21211,0
73,19168,18976,0
74,27655,53589,0
75,53647,44586,0
76,44882,16095,0
77,53071,26730,0
78,2923,9721,0
79,7020,49951,0
80,59087,42487,0
81,45045,30450,0
82,509,2997,0
83,49303,21726,0
84,9643,35818,0
85,24291,48624,0
86,8777,67989,0
87,61697,19574,0
88,22482,22811,0
89,26801,56734,0
90,36812,43181,0
91,12433,33251,0
92,51176,8614,0
93,38626,2894,0
94,60825,9882,0
95,47090,62682,0
96,45756,2949,0
97,31234,63705,0
98,51972,57998,0
99,55918,12168,0
100,29741,61025,0
101,60759,20050,0
102,47281,38167,0
103,56509,23872,0
104,15822,26717,0
105,33849,38538,0
106,12441,46289,0
107,58425,11588,0
108,67746,58778,0
109,40552,63218,0
110,59716,57275,0
111,54026,44651,0
112,56289,35360,0
113,1995,37020,0
114,62072,65602,0
115,2407,25234,0
116,10249,45342,0
117,61013,11128,0
118,5566,51309,0
119,60927,50268,0
120,40828,52960,0
121,54961,15189,0
122,4346,47350,0
123,19643,43198,0
124,68380,13956,0
125,39559,30726,0
126,34383,54283,0
127,56647,29729,0
128,13328,39708,0
129,50459,16327,0
130,2216,36489,0
131,48213,7567,0
132,36233,6321,0
133,45576,11855,0
134,41715,33628,0
135,38714,18551,0
136,62670,49480,0
137,40475,10377,0
138,26663,64473,0
139,46012,47275,0
140,42754,34495,0
141,345,66529,0
142,5060,7848,0
143,36407,55211,0
144,4258,52561,0
145,26894,38686,0
146,51659,37801,0
147,44590,57167,0
148,17048,45827,0
149,13663,18282,0
150,60387,14581,0
151,32329,47506,0
152,13435,60761,0
153,20812,64239,0
154,58402,14861,0
155,12587,10873,0
156,5119,26466,0
157,44782,9595,0
158,57580,8630,0
159,3490,51742,0
160,39579,61690,0
161,47382,49205,0
162,1819,21377,0
163,63211,11002,0
164,60616,50101,0
165,12298,15869,0
166,51659,42072,0
167,36619,58656,0
168,23061,5813,0
169,65566,42098,0
170,49989,29896,0
171,20752,65017,0
172,32721,26665,0
173,12096,57510,0
174,26420,61214,0
175,22644,7163,0
176,788,32123,0
177,39501,20406,0
178,15393,39143,0
179,46227,62219,0
180,993,31308,0
181,67613,32002,0
182,7607,612,0
183,30894,35218,0
184,61578,60961,0
185,777,28076,0
186,50021,29191,0
187,35490,31376,0
188,36321,54630,0
189,9815,38962,0
190,44999,64947,0
191,6868,47522,0
192,52143,6719,0
193,49350,42319,0
194,16025,53141,0
195,41866,35879,0
196,65593,46192,0
197,21224,49361,0
198,12871,6950,0
199,34758,3172,0
200,4808,23462,0
201,24990,21064,0
202,44548,23087,0
203,63767,62817,0
204,3445,41224,0
205,923,48189,0
206,52409,68197,0
207,18557,28208,0
208,18247,6124,0
209,22900,26717,0
210,46523,42139,0
211,50191,39856,0
212,26653,24107,0
213,29838,39357,0
214,63152,60853,0
215,35571,35166,0
216,7790,29934,0
217,22778,30387,0
218,52518,53625,0
219,62422,8158,0
220,32470,13804,0
221,29063,4781,0
222,34636,8702,0
223,9428,15820,0
224,20743,66858,0
225,36116,30558,0
226,6179,35850,0
227,26651,32747,0
228,35541,37964,0
229,33411,64058,0
230,1368,43593,0
231,33065,6710,0
232,8033,25455,0
233,10327,52701,0
234,66966,36709,0
235,30735,39308,0
236,44800,63687,0
237,2102,34948,0
238,16632,30095,0
239,1413,20048,0
240,7849,51904,0
241,14568,20098,0
242,44419,34921,0
243,40475,10077,0
244,19890,61815,0
245,31628,68356,0
246,33735,1198,0
247,32484,13196,0
248,27193,66255,0
249,65316,62732,0
250,22350,11583,0
251,22519,40631,0
252,15885,24034,0
253,17578,11928,0
254,6896,62779,0
255,61116,40719,0
256,37537,1438,0
257,40322,2732,0
258,6157,19659,0
259,27260,45372,0
260,13332,49017,0
261,49503,57756,0
262,15757,55956,0
263,35747,11686,0
264,49559,31846,0
265,22786,46966,0
266,59208,62595,0
267,52801,27848,0
268,8014,1617,0
269,40636,41344,0
270,9720,60325,0
271,29824,18982,0
272,20866,23547,0
273,45834,23892,0
274,22877,10982,0
275,61863,711,0
276,18742,66613,0
277,33173,4054,0
278,44097,55129,0
279,22733,11015,0
280,24415,44749,0
281,20697,17608,0
282,29703,25953,0
283,39610,16626,0
284,40955,28389,0
285,54936,62608,0
286,44259,6726,0
287,66914,21115,0
288,22794,41431,0
289,27557,6567,0
290,34410,7748,0
291,4608,1175,0
292,68289,16514,0
293,26860,25637,0
294,3743,66000,0
295,19475,67772,0
296,28665,34427,0
297,62143,40504,0
298,52063,62949,0
299,39194,36007,0
300,33358,65292,0
301,46218,26783,0
302,36672,33215,0
303,59543,29236,0
304,29976,30041,0
305,61218,17192,0
306,12848,25453,0
307,5481,23287,0
308,45811,17430,0
309,465,17323,0
310,65387,39233,0
311,25828,37044,0
312,44556,7550,0
313,61433,45461,0
314,44119,9396,0
315,2347,12526,0
316,45393,9792,0
317,5317,38825,0
318,19275,18397,0
319,24427,20161,0
320,4205,20790,0
321,10018,42817,0
322,7234,10625,0
323,58099,30987,0
324,27139,20114,0
325,15971,20099,0
326,53565,42909,0
327,14588,10390,0
328,10728,14306,0
329,49606,39264,0
330,1193,56764,0
331,55590,2144,0
332,16927,43301,0
333,28922,31464,0
334,19670,51170,0
335,64253,3269,0
336,13317,40060,0
337,12025,64619,0
338,47526,47043,0
339,17907,28718,0
340,54837,40810,0
341,43400,46836,0
342,40365,33535,0
343,35186,533,0
344,65852,23900,0
345,7614,63283,0
346,52200,14178,0
347,27749,29309,0
348,40013,27450,0
349,33380,46172,0
350,13161,28724,0
351,58096,18276,0
352,3510,55753,0
353,60629,24496,0
354,22398,39906,0
355,38676,20535,0
356,33771,12102,0
357,14780,55018,0
358,35294,44907,0
359,14984,65729,0
360,55641,45764,0
361,44923,35413,0
362,53408,56448,0
363,50879,27177,0
364,7030,49561,0
365,34257,51627,0
366,28698,9132,0
367,2823,57626,0
368,28985,21881,0
369,49223,49227,0
370,155,16493,0
371,20792,57673,0
372,18689,46007,0
373,48401,24113,0
374,4972,19300,0
375,17146,17222,0
376,30364,25957,0
377,16500,67564,0
378,4636,48790,0
379,61072,52888,0
380,62357,35068,0
381,35262,14551,0
382,36585,17403,0
383,60881,44130,0
384,43883,22681,0
385,4947,64276,0
386,53411,719,0
387,51662,66781,0
388,28264,40943,0
389,51959,43063,0
390,36334,61468,0
391,42021,15792,0
392,32808,27121,0
393,32766,58825,0
394,63481,63114,0
395,41352,3513,0
396,23700,43132,0
397,16744,21075,0
398,49342,28791,0
399,16065,44845,0
400,1748,26405,0
401,6540,60932,0
402,28125,10053,0
403,52774,24330,0
404,55880,48220,0
405,51500,28278,0
406,60602,15325,0
407,23614,5900,0
408,36257,44491,0
409,50801,66033,0
410,52935,45629,0
411,4966,24253,0
412,20806,55016,0
413,22055,59911,0
414,51660,29551,0
415,64563,25428,0
416,56883,38631,0
417,63669,19281,0
418,8466,58178,0
419,44400,14771,0
420,13189,4677,0
421,60378,48063,0
422,24916,21699,0
423,29772,18707,0
424,60431,53689,0
425,40809,27098,0
426,13443,36255,0
427,46455,2329,0
428,12588,188,0
429,55643,65261,0
430,35427,4923,0
431,19499,8917,0
432,40388,29390,0
433,53939,7000,0
434,33486,52333,0
435,45436,3461,0
436,50654,55773,0
437,45606,37330,0
438,17756,43807,0
439,31550,16496,0
440,23716,13067,0
441,10837,30607,0
442,31245,27405,0
443,68258,25809,0
444,57317,36915,0
445,30002,18242,0
446,49896,62825,0
447,57006,25346,0
448,1264,5711,0
449,31697,68413,0
450,39189,52118,0
451,32121,18091,0
452,63842,14683,0
453,11321,62923,0
454,30314,39663,0
455,630,14952,0
456,9184,19937,0
457,36144,19113,0
458,21608,17089,0
459,23340,193,0
460,54829,57444,0
461,48070,46818,0
462,9915,31434,0
463,64268,43962,0
464,64294,29872,0
465,24295,6611,0
466,25106,51703,0
467,8318,52726,0
468,60875,48423,0
469,12868,61595,0
470,63735,20357,0
471,64426,14911,0
472,27589,12112,0
473,2835,12026,0
474,50346,22561,0
475,26139,2697,0
476,15852,40007,0
477,20952,7381,0
478,59753,20141,0
479,27522,7642,0
480,40223,7740,0
481,37523,3705,0
482,4067,13915,0
483,823,53981,0
484,59559,18305,0
485,27837,27905,0
486,6303,20409,0
487,28767,4795,0
488,56353,4387,0
489,36476,2418,0
490,46198,27596,0
491,4964,28980,0
492,61572,63328,0
493,67947,28685,0
494,63857,9659,0
495,28870,48137,0
496,55924,12741,0
497,11077,43058,0
498,10559,628,0
499,11653,61356,0
500,36005,66640,0
501,43087,49681,0
502,46679,60900,0
503,50021,15269,0
504,42543,43147,0
505,22318,15312,0
506,12925,13847,0
507,38900,15395,0
508,8353,12216,0
509,42310,17759,0
510,56618,56711,0
511,39868,1862,0
512,37704,51030,0
513,43802,54086,0
514,59056,55256,0
515,56375,15799,0
516,10665,9318,0
517,37279,30167,0
518,29267,27841,0
519,42068,65627,0
520,28982,12793,0
521,35823,40009,0
522,12528,64754,0
523,48213,39992,0
524,43001,40396,0
525,28326,44377,0
526,14060,66143,0
527,988,53102,0
528,43002,15367,0
529,44503,5698,0
530,20806,45502,0
531,22389,22791,0
532,38540,19209,0
533,9078,13371,0
534,29109,22055,0
535,4935,48015,0
536,20838,66493,0
537,61069,54304,0
538,10489,48210,0
539,7989,60856,0
540,30919,29303,0
541,49983,9479,0
542,62567,36328,0
543,48652,14131,0
544,24625,42536,0
545,61340,9662,0
546,42712,36234,0
547,21521,66338,0
548,33671,21840,0
549,49589,44236,0
550,63323,45765,0
551,1252,13034,0
552,9127,37272,0
553,37437,47084,0
554,26251,6799,0
555,38425,24794,0
556,60717,40991,0
557,35064,28486,0
558,54964,4949,0
559,9316,2573,0
560,20160,15522,0
561,46942,55272,0
562,53496,13958,0
563,28560,55160,0
564,49290,9662,0
565,26211,22576,0
566,56047,51079,0
567,40348,30104,0
568,17652,46508,0
569,66334,31415,0
570,32907,8731,0
571,37410,18540,0
572,33012,29132,0
573,18160,49636,0
574,16609,44292,0
575,15657,27524,0
576,52409,38850,0
577,53534,12338,0
578,18726,42243,0
579,14613,41440,0
580,62781,48941,0
581,7909,22496,0
582,50406,13623,0
