fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc
1,0.7086614173228346,0.4177545691906005,0.4199475065616798,0.418848167539267,0.19510061242344706,0.5800524934383202,0.700656512424136
2,0.6338582677165354,0.2677165354330709,0.2677165354330709,0.2677165354330709,0.2440944881889764,0.7322834645669292,0.5377224828523731
3,0.571522309711286,0.2777777777777778,0.4461942257217848,0.3423967774420947,0.3867016622922135,0.5538057742782152,0.5515439179026507
4,0.5577427821522309,0.25295109612141653,0.3937007874015748,0.3080082135523614,0.38757655293088367,0.6062992125984252,0.5046258981406851
5,0.6428102429415627,0.2078853046594982,0.15223097112860892,0.17575757575757575,0.19352014010507881,0.847769028871391,0.472967258252088
6,0.6270518713066316,0.358974358974359,0.6246719160104987,0.4559386973180077,0.37215411558669004,0.3753280839895013,0.6551739592095647
7,0.6106369008535785,0.21657754010695188,0.2125984251968504,0.21456953642384105,0.2565674255691769,0.7874015748031497,0.4793646087584061
8,0.4576493762311228,0.26603575184016826,0.6640419947506562,0.37987987987987987,0.6112084063047285,0.3359580052493438,0.51490799858424
9,0.5210249671484888,0.3014789533560865,0.6973684210526315,0.42096902303415407,0.5376532399299475,0.3026315789473684,0.5809014655728638
10,0.6057818659658344,0.3090277777777778,0.46842105263157896,0.3723849372384937,0.34851138353765326,0.531578947368421,0.5545914369988018
