fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc
1,0.6942257217847769,0.3539518900343643,0.27034120734908135,0.30654761904761907,0.16447944006999124,0.7296587926509186,0.5988569014175066
2,0.6213910761154856,0.29324894514767935,0.3648293963254593,0.32514619883040935,0.29308836395450566,0.6351706036745407,0.5408397113090523
3,0.7014435695538058,0.3302752293577982,0.1889763779527559,0.24040066777963273,0.12773403324584426,0.8110236220472441,0.5729339606827362
4,0.6430446194225722,0.29048843187660667,0.29658792650918636,0.2935064935064935,0.24146981627296588,0.7034120734908137,0.5660140579540418
5,0.7104399212081418,0.25,0.07874015748031496,0.11976047904191617,0.07880910683012259,0.9212598425196851,0.5702490450515052
6,0.5948785292186474,0.2929824561403509,0.43832020997375326,0.3512092534174553,0.35288966725043786,0.5616797900262467,0.5404709700254193
7,0.6460932370321734,0.3579136690647482,0.5223097112860893,0.4247598719316969,0.3126094570928196,0.4776902887139108,0.6272988862381694
8,0.6441234405778069,0.2930591259640103,0.2992125984251969,0.2961038961038961,0.24080560420315236,0.7007874015748031,0.5648123888191734
9,0.6425755584756899,0.28534031413612565,0.2868421052631579,0.28608923884514437,0.23905429071803852,0.7131578947368421,0.5433058346391373
10,0.7759526938239159,0.6611570247933884,0.21052631578947367,0.3193612774451098,0.03590192644483362,0.7894736842105263,0.7381452207576735
