fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc
1,0.8556430446194225,0.7388724035608308,0.6535433070866141,0.6935933147632312,0.07699037620297462,0.3464566929133858,0.8235889805112944
2,0.8569553805774278,0.7538940809968847,0.6351706036745407,0.6894586894586895,0.06911636045494313,0.3648293963254593,0.8630417260834521
3,0.8556430446194225,0.7523510971786834,0.6299212598425197,0.6857142857142857,0.06911636045494313,0.3700787401574803,0.8432545013238174
4,0.8484251968503937,0.7516778523489933,0.5879265091863517,0.6597938144329897,0.0647419072615923,0.4120734908136483,0.8372508226497934
5,0.8686802363755746,0.7873015873015873,0.6509186351706037,0.7126436781609196,0.05866900175131348,0.34908136482939633,0.8578747052415296
6,0.8614576493762311,0.7607361963190185,0.6509186351706037,0.7015558698727016,0.06830122591943957,0.34908136482939633,0.8692053817265835
7,0.8699934340118188,0.7781155015197568,0.6719160104986877,0.7211267605633803,0.063922942206655,0.32808398950131235,0.8607039268953027
8,0.8535784635587655,0.7309941520467836,0.6561679790026247,0.6915629322268326,0.08056042031523643,0.3438320209973753,0.8836399281088112
9,0.8646517739816032,0.7589285714285714,0.6710526315789473,0.7122905027932961,0.07092819614711034,0.32894736842105265,0.8660855839247857
10,0.8699080157687253,0.7935483870967742,0.6473684210526316,0.7130434782608696,0.05604203152364273,0.3526315789473684,0.8633837220020277
