,nodeid1,nodeid2,label
0,135590,41474,0
1,150234,132068,0
2,116871,62254,0
3,113092,148823,0
4,109436,56667,0
5,116871,32315,0
6,61576,124985,0
7,50363,126700,0
8,108748,146399,0
9,79868,59360,0
10,70852,95877,0
11,34723,71628,0
12,148700,1561,0
13,77549,122461,0
14,120395,62254,0
15,53355,59360,0
16,50223,20362,0
17,34723,142996,0
18,138415,132068,0
19,108748,67480,0
20,44998,62254,0
21,27369,125589,0
22,80687,46777,0
23,59339,45985,0
24,127266,44332,0
25,33695,53157,0
26,55869,148823,0
27,120395,133740,0
28,28874,13857,0
29,145973,71628,0
30,115905,62254,0
31,33695,50024,0
32,70852,19642,0
33,55869,19642,0
34,124049,50223,0
35,25479,4424,0
36,61983,3825,0
37,59339,150077,0
38,135590,102168,0
39,3825,50079,0
40,15653,128200,0
41,122231,25269,0
42,77549,126700,0
43,154462,103865,0
44,141442,132068,0
45,133106,13857,0
46,61038,139635,0
47,50363,63315,0
48,127926,113092,0
49,130639,116871,0
50,62254,1561,0
51,61038,13857,0
52,44998,63315,0
53,115905,138415,0
54,53355,126700,0
55,146399,56667,0
56,40948,95877,0
57,136517,146399,0
58,68238,20362,0
59,145973,40756,0
60,61038,102168,0
61,45822,41474,0
62,72601,124985,0
63,116871,3825,0
64,55869,50223,0
65,61983,124030,0
66,145441,125589,0
67,115905,120646,0
68,61576,154519,0
69,59946,152069,0
70,130148,38942,0
71,136544,139635,0
72,80687,146399,0
73,28874,44998,0
74,130639,138415,0
75,136544,20362,0
76,130639,154471,0
77,110523,148823,0
78,59339,20362,0
79,78272,62254,0
80,92438,63315,0
81,146399,45822,0
82,108748,146399,0
83,50363,25269,0
84,59946,44998,0
85,130148,148775,0
86,62254,133740,0
87,109436,125589,0
88,109436,139635,0
89,15653,25269,0
90,77124,63315,0
91,116871,132068,0
92,109436,19306,0
93,50363,136159,0
94,115905,124985,0
95,152545,19642,0
96,59946,61576,0
97,32961,112090,0
98,33967,90975,0
99,23826,150077,0
100,29380,63315,0
101,152545,46777,0
102,32961,30560,0
103,140624,124985,0
104,78272,92615,0
105,106972,30560,0
106,77549,132068,0
107,130148,19306,0
108,33695,50223,0
109,29380,95877,0
110,59360,50223,0
111,109436,125589,0
112,55869,125589,0
113,88000,148775,0
114,50223,148823,0
115,135590,33695,0
116,77549,24383,0
117,40701,133740,0
118,29380,19306,0
119,50024,124378,0
120,122231,44332,0
121,3825,142996,0
122,3825,20362,0
123,100964,44332,0
124,68238,67480,0
125,44998,40756,0
126,55869,93558,0
127,150234,39028,0
128,92438,61576,0
129,109436,32315,0
130,25479,133740,0
131,77549,1561,0
132,23826,74254,0
133,127266,133740,0
134,59339,64336,0
135,40701,3825,0
136,148257,20362,0
137,33695,3825,0
138,70852,116871,0
139,136544,120646,0
140,59360,148823,0
141,23826,152069,0
142,3825,148823,0
143,33695,74254,0
144,40701,125589,0
145,33967,53157,0
146,72601,21366,0
147,50363,133192,0
148,59339,139635,0
149,59339,76569,0
150,133106,132068,0
151,154462,50079,0
152,127926,148775,0
153,127926,40756,0
154,140624,20362,0
155,79868,126696,0
156,23826,50223,0
157,59360,74254,0
158,70852,45822,0
159,68238,62870,0
160,34723,61576,0
161,33967,41474,0
162,148257,92615,0
163,120395,152069,0
164,127926,136159,0
165,34723,92615,0
166,120395,59360,0
167,33967,112090,0
168,59360,50024,0
169,40948,56667,0
170,122231,39028,0
171,77124,44332,0
172,150234,39028,0
173,67764,25269,0
174,121361,139635,0
175,92438,24383,0
176,44998,148775,0
177,61983,38942,0
178,71628,76569,0
179,148920,71628,0
180,141442,95877,0
181,70852,125589,0
182,50223,2773,0
183,138415,30560,0
184,108748,40756,0
185,34723,61576,0
186,59360,126696,0
187,143120,148775,0
188,71628,24383,0
189,3825,124985,0
190,67764,126696,0
191,61576,133192,0
192,33967,59360,0
193,44998,74254,0
194,132240,33695,0
195,28874,95877,0
196,136517,132068,0
197,59946,120646,0
198,141442,64336,0
199,61576,50079,0
200,145441,50223,0
201,33695,19306,0
202,55869,124030,0
203,32961,45985,0
204,15653,3825,0
205,136544,1561,0
206,100964,128200,0
207,33967,148823,0
208,23826,4424,0
209,50363,90975,0
210,61576,32315,0
211,55869,74254,0
212,88000,122461,0
213,59360,40756,0
214,40948,142996,0
215,109436,148775,0
216,32961,132068,0
217,62254,32315,0
218,45822,122461,0
219,92438,146399,0
220,130639,56667,0
221,77124,92615,0
222,65475,152069,0
223,92438,44332,0
224,59339,93558,0
225,79868,50223,0
226,150234,50223,0
227,40948,50223,0
228,122231,40756,0
229,100964,148775,0
230,61983,126700,0
231,45822,62870,0
232,108748,103865,0
233,72601,4424,0
234,50024,44998,0
235,23826,133740,0
236,136544,46777,0
237,78272,32315,0
238,55869,62254,0
239,65475,136159,0
240,122231,92615,0
241,115905,39028,0
242,78272,124985,0
243,40701,90975,0
244,61038,32315,0
245,130148,136159,0
246,61038,56667,0
247,148700,90975,0
248,154462,19642,0
249,109436,19642,0
250,65520,21366,0
251,109436,103865,0
252,152545,44998,0
253,120395,152069,0
254,59946,148823,0
255,120395,126696,0
256,50024,154519,0
257,72601,44998,0
258,116871,3825,0
259,124049,62870,0
260,72601,19306,0
261,50223,112090,0
262,136517,45985,0
263,65520,39028,0
264,40701,19642,0
265,141442,124378,0
266,65520,53157,0
267,110523,128200,0
268,100964,33695,0
269,23826,154471,0
270,136544,138415,0
271,140624,24383,0
272,59339,132068,0
273,130148,64336,0
274,152545,103865,0
275,124049,150077,0
276,140624,148823,0
277,23826,30560,0
278,53355,133740,0
279,61576,154471,0
280,15653,139635,0
281,62254,20362,0
282,65520,4424,0
283,122231,50223,0
284,79868,24383,0
285,77124,71628,0
286,133106,19642,0
287,50223,46777,0
288,61038,56667,0
289,140624,3825,0
290,116871,40756,0
291,77124,92615,0
292,120395,124378,0
293,3825,113092,0
294,40701,4424,0
295,25479,61576,0
296,127266,40756,0
297,150234,74254,0
298,113092,136159,0
299,65520,120646,0
300,62254,142996,0
301,100964,120646,0
302,130148,103865,0
303,127266,21366,0
304,45822,40756,0
305,154462,124985,0
306,130639,76569,0
307,136517,59360,0
308,61576,21366,0
309,70852,148775,0
310,88000,76569,0
311,120395,122461,0
312,152545,128200,0
313,127926,136159,0
314,138415,152069,0
315,50223,152069,0
316,133106,62254,0
317,127926,95877,0
318,109027,60347,0
319,142690,88196,0
320,73039,109940,0
321,54927,90136,0
322,26571,87165,0
323,22801,28713,0
324,82577,24,0
325,118933,16641,0
326,55219,3601,0
327,15650,101540,0
328,24713,127356,0
329,960,88196,0
330,28952,43305,0
331,131296,123221,0
332,24613,22813,0
333,10317,12679,0
334,138900,24,0
335,53587,144917,0
336,38187,120966,0
337,43588,13751,0
338,96877,108883,0
339,47141,77436,0
340,9316,69373,0
341,84403,46025,0
342,63126,67487,0
343,69373,79839,0
344,152610,37807,0
345,115228,109940,0
346,126056,144917,0
347,124049,44491,0
348,138900,67487,0
349,91802,100964,0
350,133007,50374,0
351,62993,86852,0
352,26571,54480,0
353,123400,46025,0
354,123037,70754,0
355,113125,115394,0
356,85667,71371,0
357,49507,56133,0
358,83981,31800,0
359,20783,69373,0
360,24383,8153,0
361,38177,3601,0
362,38477,123805,0
363,124384,94008,0
364,5445,15827,0
365,148536,113118,0
366,81317,32488,0
367,5681,25221,0
368,124049,32488,0
369,144297,28713,0
370,110251,685,0
371,129025,106302,0
372,76685,79229,0
373,52664,72841,0
374,44651,91325,0
375,90830,37685,0
376,103615,102420,0
377,63126,37093,0
378,153700,29316,0
379,10328,150171,0
380,16857,122461,0
381,16857,16507,0
382,38187,6693,0
383,37993,94008,0
384,44651,45125,0
385,43588,58873,0
386,110251,12679,0
387,70213,37685,0
388,44007,15393,0
389,136123,37093,0
390,92438,133109,0
391,44651,77183,0
392,135897,72841,0
393,50117,15709,0
394,132746,72841,0
395,60559,25221,0
396,78379,109867,0
397,44491,13751,0
398,73039,49618,0
399,54874,77436,0
400,15650,115394,0
401,91428,22526,0
402,5445,151324,0
403,24434,108280,0
404,135477,126700,0
405,44007,24,0
406,70213,51145,0
407,24713,20399,0
408,105866,62440,0
409,73993,33855,0
410,52664,86852,0
411,19394,73034,0
412,38477,24673,0
413,52664,107575,0
414,114681,6693,0
415,85041,8153,0
416,24713,46025,0
417,57994,45125,0
418,56571,109867,0
419,22801,77183,0
420,3505,76640,0
421,26945,86407,0
422,123037,12679,0
423,20083,45125,0
424,24713,135517,0
425,40613,107829,0
426,5592,71371,0
427,38177,107575,0
428,78691,77549,0
429,136905,85175,0
430,95126,120966,0
431,44651,29297,0
432,108197,68274,0
433,89377,84351,0
434,114158,102130,0
435,69857,50535,0
436,20877,16507,0
437,44311,44094,0
438,125165,136072,0
439,67353,77183,0
440,26945,130591,0
441,54874,120966,0
442,120219,62440,0
443,105819,21080,0
444,84403,67487,0
445,123183,136027,0
446,132746,21080,0
447,123797,2549,0
448,26571,20399,0
449,138095,96119,0
450,5592,106182,0
451,76640,20399,0
452,96613,87165,0
453,61223,44094,0
454,50117,37685,0
455,117007,28713,0
456,24613,66741,0
457,62993,44491,0
458,78570,91325,0
459,84403,130122,0
460,63960,33757,0
461,21916,87165,0
462,3983,72841,0
463,69713,89807,0
464,113118,130959,0
465,124384,109940,0
466,152610,123805,0
467,129025,84351,0
468,85041,33855,0
469,117007,23195,0
470,28952,3145,0
471,133007,16507,0
472,113092,685,0
473,28271,86852,0
474,78379,121601,0
475,36274,110389,0
476,107889,29316,0
477,14862,91325,0
478,33709,32488,0
479,24728,28713,0
480,120219,25221,0
481,21916,77436,0
482,10317,79839,0
483,19394,45125,0
484,52664,47827,0
485,18127,94004,0
486,137392,73034,0
487,111359,66741,0
488,60559,20399,0
489,81707,123221,0
490,37993,31800,0
491,47141,69880,0
492,124384,47827,0
493,66978,96119,0
494,37993,140279,0
495,117174,60347,0
496,123183,32488,0
497,59535,106302,0
