,nodeid1,nodeid2,label
0,59360,61576,1
1,61576,59360,1
2,135590,133740,1
3,122231,53157,1
4,53355,67480,1
5,127926,67480,1
6,143120,46777,1
7,55869,116871,1
8,55869,146399,1
9,116871,146399,1
10,146399,116871,1
11,150234,20362,1
12,34723,95877,1
13,32961,103865,1
14,70852,30560,1
15,80687,30560,1
16,154462,62870,1
17,15653,93558,1
18,77549,93558,1
19,44998,113092,1
20,113092,44998,1
21,67764,74254,1
22,50024,71628,1
23,71628,50024,1
24,120395,148823,1
25,88000,142996,1
26,145973,142996,1
27,45822,138415,1
28,138415,45822,1
29,25479,24383,1
30,25479,25269,1
31,25479,41474,1
32,25479,45985,1
33,25479,124378,1
34,25479,154471,1
35,27369,45985,1
36,27369,124378,1
37,92438,25269,1
38,92438,41474,1
39,92438,45985,1
40,92438,124378,1
41,92438,154471,1
42,106972,25269,1
43,106972,41474,1
44,106972,45985,1
45,106972,124378,1
46,106972,154471,1
47,108748,25269,1
48,108748,41474,1
49,108748,45985,1
50,108748,124378,1
51,108748,154471,1
52,115905,25269,1
53,115905,41474,1
54,115905,45985,1
55,115905,124378,1
56,115905,154471,1
57,148257,45985,1
58,148257,124378,1
59,148920,45985,1
60,148920,124378,1
61,3825,50223,1
62,50223,3825,1
63,100964,125589,1
64,65475,128200,1
65,145441,148775,1
66,33695,44332,1
67,50363,33695,1
68,50363,44332,1
69,130148,50079,1
70,130148,126700,1
71,141442,50079,1
72,141442,126700,1
73,136517,1561,1
74,68238,4424,1
75,127266,39028,1
76,79868,56667,1
77,59946,102168,1
78,29380,112090,1
79,110523,120646,1
80,40948,122461,1
81,65520,126696,1
82,41557,60347,1
83,94453,15393,1
84,115228,15827,1
85,144297,45125,1
86,4056,122901,1
87,135897,4056,1
88,135897,122901,1
89,105866,20399,1
90,40808,106182,1
91,89529,88304,1
92,8960,50374,1
93,26264,50374,1
94,50327,50374,1
95,50327,89807,1
96,54874,50374,1
97,77761,50374,1
98,77761,89807,1
99,85998,50374,1
100,85998,89807,1
101,154494,50374,1
102,154494,89807,1
103,5445,116689,1
104,78570,116689,1
105,138900,116689,1
106,136905,77436,1
107,28271,137541,1
108,2550,2549,1
109,83946,25221,1
110,155199,25221,1
111,145652,79839,1
112,44311,137093,1
113,24434,22526,1
114,61874,127356,1
115,124891,108883,1
116,44933,132440,1
117,54084,132440,1
118,57994,132440,1
119,76890,132440,1
120,78691,132440,1
121,108197,132440,1
122,129025,103897,1
123,62174,134763,1
124,141601,134763,1
125,63960,83197,1
126,39378,119961,1
127,70213,76640,1
128,76640,70213,1
129,146001,12679,1
130,44651,92619,1
131,135477,24,1
132,128574,129000,1
133,105819,115394,1
134,62158,150171,1
135,111359,150171,1
136,67353,86852,1
137,85022,87165,1
138,10328,23195,1
139,10328,37685,1
140,10328,60717,1
141,10328,62440,1
142,10328,68274,1
143,10328,106302,1
144,10328,139982,1
145,10328,150455,1
146,15187,23195,1
147,15187,37685,1
148,15187,60717,1
149,15187,68274,1
150,15187,106302,1
151,15187,139982,1
152,15187,150455,1
153,18127,23195,1
154,18127,37685,1
155,18127,60717,1
156,18127,62440,1
157,18127,68274,1
158,18127,77549,1
159,18127,106302,1
160,18127,139982,1
161,18127,150455,1
162,20783,23195,1
163,20783,37685,1
164,20783,60717,1
165,20783,62440,1
166,20783,68274,1
167,20783,77549,1
168,20783,102130,1
169,20783,106302,1
170,20783,139982,1
171,20783,150455,1
172,27033,23195,1
173,27033,37685,1
174,27033,60717,1
175,27033,68274,1
176,27033,106302,1
177,27033,139982,1
178,27033,150455,1
179,30268,23195,1
180,30268,37685,1
181,30268,60717,1
182,30268,62440,1
183,30268,68274,1
184,30268,77549,1
185,30268,106302,1
186,30268,139982,1
187,30268,150455,1
188,34445,23195,1
189,34445,37685,1
190,34445,60717,1
191,34445,68274,1
192,34445,106302,1
193,34445,139982,1
194,34445,150455,1
195,35900,23195,1
196,35900,37685,1
197,35900,60717,1
198,35900,62440,1
199,35900,68274,1
200,35900,77549,1
201,35900,106302,1
202,35900,139982,1
203,35900,150455,1
204,36239,23195,1
205,36239,37685,1
206,36239,60717,1
207,36239,62440,1
208,36239,68274,1
209,36239,106302,1
210,36239,139982,1
211,36239,150455,1
212,40613,23195,1
213,40613,60717,1
214,40613,68274,1
215,40613,139982,1
216,40613,150455,1
217,54927,23195,1
218,54927,37685,1
219,54927,60717,1
220,54927,62440,1
221,54927,68274,1
222,54927,106302,1
223,54927,139982,1
224,54927,150455,1
225,57368,23195,1
226,57368,37685,1
227,57368,60717,1
228,57368,62440,1
229,57368,68274,1
230,57368,106302,1
231,57368,139982,1
232,57368,150455,1
233,61028,23195,1
234,61028,37685,1
235,61028,60717,1
236,61028,62440,1
237,61028,68274,1
238,61028,77549,1
239,61028,106302,1
240,61028,139982,1
241,61028,150455,1
242,72301,23195,1
243,72301,37685,1
244,72301,60717,1
245,72301,62440,1
246,72301,68274,1
247,72301,106302,1
248,72301,139982,1
249,72301,150455,1
250,73039,23195,1
251,73039,37685,1
252,73039,60717,1
253,73039,62440,1
254,73039,68274,1
255,73039,106302,1
256,73039,139982,1
257,73039,150455,1
258,73993,23195,1
259,73993,37685,1
260,73993,60717,1
261,73993,62440,1
262,73993,68274,1
263,73993,77549,1
264,73993,106302,1
265,73993,139982,1
266,73993,150455,1
267,76758,23195,1
268,76758,60717,1
269,76758,68274,1
270,76758,139982,1
271,76758,150455,1
272,83232,23195,1
273,83232,60717,1
274,83232,68274,1
275,83232,106302,1
276,83232,139982,1
277,83232,150455,1
278,89377,23195,1
279,89377,37685,1
280,89377,60717,1
281,89377,62440,1
282,89377,68274,1
283,89377,106302,1
284,89377,139982,1
285,89377,150455,1
286,91933,23195,1
287,91933,37685,1
288,91933,60717,1
289,91933,62440,1
290,91933,68274,1
291,91933,106302,1
292,91933,139982,1
293,91933,150455,1
294,110256,23195,1
295,110256,60717,1
296,110256,68274,1
297,110256,139982,1
298,110256,150455,1
299,119399,23195,1
300,119399,37685,1
301,119399,60717,1
302,119399,62440,1
303,119399,68274,1
304,119399,106302,1
305,119399,139982,1
306,119399,150455,1
307,120717,23195,1
308,120717,60717,1
309,120717,68274,1
310,120717,139982,1
311,120717,150455,1
312,123183,23195,1
313,123183,37685,1
314,123183,60717,1
315,123183,62440,1
316,123183,68274,1
317,123183,77549,1
318,123183,106302,1
319,123183,139982,1
320,123183,150455,1
321,133007,23195,1
322,133007,37685,1
323,133007,60717,1
324,133007,62440,1
325,133007,68274,1
326,133007,77549,1
327,133007,106302,1
328,133007,139982,1
329,133007,150455,1
330,140702,23195,1
331,140702,37685,1
332,140702,60717,1
333,140702,68274,1
334,140702,106302,1
335,140702,139982,1
336,140702,150455,1
337,143582,23195,1
338,143582,37685,1
339,143582,60717,1
340,143582,62440,1
341,143582,68274,1
342,143582,77549,1
343,143582,102130,1
344,143582,106302,1
345,143582,139982,1
346,143582,150455,1
347,146132,23195,1
348,146132,37685,1
349,146132,60717,1
350,146132,62440,1
351,146132,68274,1
352,146132,106302,1
353,146132,139982,1
354,146132,150455,1
355,148536,23195,1
356,148536,37685,1
357,148536,60717,1
358,148536,62440,1
359,148536,68274,1
360,148536,77549,1
361,148536,106302,1
362,148536,139982,1
363,148536,150455,1
364,152610,23195,1
365,152610,37685,1
366,152610,60717,1
367,152610,62440,1
368,152610,68274,1
369,152610,106302,1
370,152610,139982,1
371,152610,150455,1
372,153800,23195,1
373,153800,37685,1
374,153800,60717,1
375,153800,62440,1
376,153800,68274,1
377,153800,77549,1
378,153800,106302,1
379,153800,139982,1
380,153800,150455,1
381,154167,23195,1
382,154167,37685,1
383,154167,60717,1
384,154167,62440,1
385,154167,68274,1
386,154167,77549,1
387,154167,102130,1
388,154167,106302,1
389,154167,139982,1
390,154167,150455,1
391,109027,123221,1
392,109027,151324,1
393,5681,79229,1
394,123797,79229,1
395,153311,79229,1
396,114158,29478,1
397,85667,48217,1
398,137392,48217,1
399,84165,110389,1
400,16857,16641,1
401,16927,16641,1
402,66978,107829,1
403,71974,107829,1
404,91428,107829,1
405,96877,107829,1
406,63126,13751,1
407,113092,15709,1
408,69713,149408,1
409,16147,32488,1
410,2111,130591,1
411,44491,133109,1
412,133109,44491,1
413,31976,21080,1
414,38037,74753,1
415,94004,113118,1
416,113118,94004,1
417,138321,130122,1
418,960,27720,1
419,36829,33757,1
420,78430,685,1
421,130333,126334,1
422,135813,63037,1
423,135813,113855,1
424,1074,90136,1
425,5592,90136,1
426,9316,90136,1
427,24383,54480,1
428,24383,90136,1
429,24713,54480,1
430,24713,90136,1
431,25015,54480,1
432,25015,90136,1
433,25479,54480,1
434,25479,90136,1
435,26945,90136,1
436,30702,90136,1
437,38855,90136,1
438,44007,54480,1
439,44007,90136,1
440,46726,90136,1
441,62924,90136,1
442,78379,90136,1
443,80276,90136,1
444,81473,90136,1
445,82577,90136,1
